region,run-01 | Non-SOZ,run-01 | SOZ,run-02 | Non-SOZ,run-02 | SOZ,run-03 | Non-SOZ,run-03 | SOZ
early_before,114.577185,110.188197,165.900715,150.591276,152.40229,137.711414
preictal_candidate,123.462402,115.097554,158.612992,144.544081,155.664779,140.192264
early_ictal,96.899771,103.585756,103.876185,92.887564,91.95578,79.913474
middle_ictal,114.450184,144.566852,142.635781,152.534487,150.25918,166.839558
late_ictal,168.787566,142.534153,170.423204,142.918689,339.70315,185.342134
post_ictal,173.327788,112.098148,295.340113,130.989564,258.486094,125.731424
