region,run-01 | Non-SOZ,run-01 | SOZ,run-02 | Non-SOZ,run-02 | SOZ,run-03 | Non-SOZ,run-03 | SOZ
early_before,28.565356,33.140972,24.506181,27.468371,17.351226,28.647456
preictal_candidate,30.823946,36.038068,32.247872,31.359381,15.908131,35.556593
early_ictal,34.532801,89.895095,36.617661,63.364735,18.388092,41.108609
middle_ictal,47.387313,98.528334,97.238047,69.267937,77.097024,47.901712
late_ictal,181.557401,61.0593,289.149537,93.950189,5232.399661,471.621687
post_ictal,53.787482,28.37297,1480.239863,9.803286,4154.10188,10.389653
