region,run-01 | Non-SOZ,run-01 | SOZ,run-02 | Non-SOZ,run-02 | SOZ,run-03 | Non-SOZ,run-03 | SOZ
early_before,1.642186,3.651648,2.521991,3.577815,3.107471,4.684462
preictal_candidate,2.46991,3.645686,7.714856,5.437782,2.599857,4.284219
early_ictal,2.969022,9.216658,7.202645,9.658181,4.881989,5.702352
middle_ictal,5.634741,12.870646,10.444219,11.598842,10.819648,10.895144
late_ictal,28.037945,11.488038,66.408608,27.667791,2058.188228,66.938733
post_ictal,10.610478,3.951511,506.316987,6.843907,1020.190869,7.836384
