run,is_soz,rms_uv_preictal,line_length_uv_preictal,gamma_power_preictal,high_gamma_power_preictal,rms_uv_early_ictal,line_length_uv_early_ictal,gamma_power_early_ictal,high_gamma_power_early_ictal,rms_uv_fold_change,line_length_uv_fold_change,gamma_power_fold_change,high_gamma_power_fold_change
run-01,False,123.462402,3.313571,30.823946,2.46991,96.899771,3.435522,34.532801,2.969022,0.784852,1.036804,1.120324,1.202077
run-01,True,115.097554,3.196932,36.038068,3.645686,103.585756,3.860012,89.895095,9.216658,0.899982,1.207411,2.494448,2.5281
run-02,False,158.612992,4.295735,32.247872,7.714856,103.876185,4.205365,36.617661,7.202645,0.654903,0.978963,1.135506,0.933607
run-02,True,144.544081,3.829137,31.359381,5.437782,92.887564,4.153758,63.364735,9.658181,0.642624,1.084777,2.020599,1.776125
run-03,False,155.664779,3.039857,15.908131,2.599857,91.95578,3.227042,18.388092,4.881989,0.59073,1.061577,1.155893,1.877791
run-03,True,140.192264,3.016901,35.556593,4.284219,79.913474,3.255988,41.108609,5.702352,0.570028,1.079249,1.156146,1.331013
